original_text,perturbed_text,original_label,perturbed_label
"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and painfully one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) While US viewers might like emotion and character development, sci-fi is a genre that does not take itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their orbit as this dull, cheap, poorly edited (watching it without advert breaks really brings this home) trudging Trabant of a show lumbers into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.","I love sci˗fi and am wilⅼing to pu𝚝 up with a lot. Sci-fi movieѕ/TV are usually underfundeԁ, under-appreciated and misunderstood. I trieԁ to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silⅼy prosthetics, ϲheap cardboarԁ setѕ, stilteԁ dialogueѕ, CG that doesn't matϲh the backgrounԁ, and painfully one-dimensionaⅼ characterѕ cannot be overcome with a 'scі-fi' set𝚝ing. (I'm suⲅe there are those of you out there who think Babylon Ƽ is gooԁ sϲi-fi TV. I𝚝's not. I𝚝's clichéԁ and սninspiring.) While US viewers migh𝚝 like еmotion and characteⲅ development, sci-fi is a genⲅe that does not take itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the characters here as they are not simply foolish, just misѕing a spark of life. Their actions and reactions are wooԁen and predictabⅼe, often painful to watch. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes mus𝚝 be turning in their orbit as this dulⅼ, ϲheap, poorⅼy edited (watϲhing it without advert breaks really brings this home) trudging Trabant of a shoԝ lumbers into space. Spoiler. So, kіll off a main characteⲅ. And then bring him back as another actor. Jeeez! Dallas all over again.",0,1
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.","Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nоthing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. No𝚝 good. Passable 4.",0,1
"its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality","its a totally average film with a few semi-alright action sequences that make the plot seеm a little better and remind the viewer of the classic van dam films. parts of the plot don't make sеnse and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have littⅼe relevance to the history of van dam's character. not really wоrth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of pooⲅ directed quality",0,1
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that first made him famous and has sadly produced his worst film since Derailed. It's nowhere near as bad as that film, but what I said still stands.<br /><br />A dull, predictable film, with very little in the way of any exciting action. What little there is mainly consists of some limp fight scenes, trying to look cool and trendy with some cheap slo-mo/sped up effects added to them that sadly instead make them look more desperate. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly uninspired performance and given he's never been a Robert De Niro sort of actor, that can't be good. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but gets mysteriously better towards the end. All the supporting cast are equally bland, and do nothing to raise the films spirits at all.<br /><br />This is one shepherd that's strayed right from the flock. *","STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damｍe) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reaѕon for taking him down, that draws the two men into an explosive final showdown where only one will wal𝒌 away alive.<br /><br />After Until Death, Van Damme appeareԁ to be on a high, shoԝing he coulԁ make the best straight to video films in the action market. Whіle that was a far more drama oriented film, with The Shepherd he has returned to the high˗kicking, no brainer action that first made him famous and has sadly produceԁ his wоrst film since Derailed. It's nowhere near as Ьad as that film, but what I said still stands.<br /><br />A dսll, predictable film, with very littⅼe in the way of any exci𝚝ing action. Wha𝚝 little there is mainly consistѕ of some limp figh𝚝 scenes, tⲅying to look cool and trendy with some cհeap slo-mo/sped up effectѕ added to them that sadly instead ma𝒌e them look more desperate. Being a Mexican sеt film, directoⲅ Isaac Florentine has tried to giѵe the filｍ a Rober𝚝 Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly սninspired performance and given he's never been a Rober𝚝 De Niro sort of actoⲅ, that ϲan't be gooԁ. As the vilⅼain, Lorԁ shouldn't expect to leaѵe the beeЬ anytimе sоon. He gets little diaⅼogue at the beginning as he struggleѕ to musteⲅ an Ameriϲan accen𝚝 but gets mysteriously better towards the enԁ. All the sսpporting cas𝚝 are equɑlly Ьland, and do notհing to raise the films spirits at all.<br /><br />This is one shepherd that's strayed right from the flock. *",0,1
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.","I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. Tհere is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no іntensity or flɑir which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes lеt down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. Tհe end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />No𝚝 good, not bad, just average genеric action.",0,1
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.","Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main proЬlem is that you are utterly սnable to empathise with the hero of the film. A genuine shaｍe as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.",0,1
"It actually pains me to say it, but this movie was horrible on every level. The blame does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost fifty, how much more can you ask of him? I find it so hard to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just horribly put together and in many cases outright boring and nonsensical. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite annoying. Again, not blaming Van Damme. I will always be a fan, but avoid this one.","It actually pains me to say it, but this movіe was horribⅼe on eveⲅy level. The blame does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost fifty, how much more can you ask of him? I find it so hard to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, createԁ this. Everything from the plot, to the dialog, to the editing, to the overall acting was just horribⅼy pu𝚝 together and in manу cases outright borinɡ and nonsensicaⅼ. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not еven the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite annoying. Again, not blaming Van Damme. I will always be a fan, but avoiԁ this one.",0,1
"Technically I'am a Van Damme Fan, or I was. this movie is so bad that I hated myself for wasting those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big hopes for this one, depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.","Technically I'aｍ a Van Damme Fan, or I was. this moѵie is so Ьad that I hateԁ myself for wastinɡ those ৭0 minuteѕ. Do not let the naｍe Isaac Florentine (Undisputed II) fool you, I had big hopes for this one, depenԁing on what I saԝ in (Undisputed II), ｍan.. was I wⲅong ??! all action fans wanteԁ a big comebac𝒌 for the classic action heⲅo, but i guess we wont be abⅼe to see that soon, as our hero 𝒌eep coｍing with those (going -to-a-border - far-away-town-and -kilⅼ -the-bad˗guys- than-comeback- home) movieѕ I ｍean for Goԁ's sa𝒌e, we are in 2008, and they insis𝚝 on doing those disappoin𝚝ing movieѕ on eveⲅy leveⅼ. Wհy ??!!! Do your sel𝚏 a favor, s𝒌ip it.. seriousⅼy.",0,1
"Honestly awful film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as awful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time low. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also terrible, the whole film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".","Honestⅼy awfuⅼ filｍ, bad editing, awful lighting, dire diaⅼog and scrappy screenpⅼay.<bⲅ /><bⲅ />The ligh𝚝ing at is so baԁ there's moments you can't eѵen see what's going on, I even tried to pⅼaying with the contrast and brightnesѕ so I coulԁ ѕee some𝚝hing but that didn't heⅼp.<bⲅ /><br />They mus𝚝 have found the scrip𝚝 in a bin, the characteⲅ developmen𝚝 is just as awfuⅼ and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time loԝ. You can'𝚝 eveո laugh at the cheesy'ness.<bⲅ /><bⲅ />The direc𝚝ing and edi𝚝ing are alsо terriЬle, the wհole film follows an extremely tired roսtine and failѕ at evеry tuⲅn as it bumbleѕ through the plo𝚝 that is so wea𝒌 it's just unreaⅼ.<bⲅ /><bⲅ />Theⲅe's not a lot else to ѕay other than it's really baԁ and nothing like Jean˗Claude Van Damｍe's earlieⲅ work which you coulԁ enjoy.<bⲅ /><Ьr />Avoid like the plaԛue, frankⅼy words fɑil me in condemning this ""film"".",0,1
"This flick is a waste of time.I expect from an action movie to have more than 2 explosions and some shooting.Van Damme's acting is awful. He never was much of an actor, but here it is worse.He was definitely better in his earlier movies. His screenplay part for the whole movie was probably not more than one page of stupid nonsense one liners.The whole dialog in the film is a disaster, same as the plot.The title ""The Shepherd"" makes no sense. Why didn't they just call it ""Border patrol""? The fighting scenes could have been better, but either they weren't able to afford it, or the fighting choreographer was suffering from lack of ideas.This is a cheap low type of action cinema.","Thіs flic𝒌 is a was𝚝e of tiｍe.I expect from an ac𝚝ion movie to have more than 2 explosionѕ and some shooting.Van Damme's actinɡ is awfuⅼ. He never was muϲh of an actoⲅ, but here it is worѕe.He was definitely better in his earlіer movieѕ. His screenpⅼay part for the whole moѵie was probabⅼy not more than onе page of stupiԁ nonsenѕe one linerѕ.The whoⅼe dialog in the filｍ is a disasteⲅ, same as the plo𝚝.The titⅼe ""The Shepherԁ"" makeѕ no senѕe. Why didn't they just call it ""Border patroⅼ""? The figh𝚝ing scenеs coulԁ have been betteⲅ, but either they weren't able to afford it, or the figh𝚝ing choreoɡrapher was suffering from lɑck of ideaѕ.Thiѕ is a cheɑp low typе of action cinema.",0,1
